id locations airCompanies airline bct fn positions classify
42 BAR HA PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
43 BAR JD PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
44 BAR JD PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
45 BAR OZ PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
46 BAR OZ PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
47 BAR GS PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
48 BAR GS PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
49 XYI AC PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
50 XYI AC PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
51 XYI MU PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
52 XYI MU PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
53 XYI HA PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
54 XYI HA PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
55 XYI JD PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
56 XYI JD PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
57 XYI OZ PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
58 XYI OZ PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
59 XYI GS PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
60 XYI GS PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
61 KIX AC PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
62 KIX AC PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
63 KIX MU PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
64 KIX MU PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
65 KIX HA PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
66 KIX HA PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
67 KIX JD PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
68 KIX JD PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
69 KIX OZ PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
70 KIX OZ PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
71 KIX GS PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
72 KIX GS PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
73 ITM AC PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
74 ITM AC PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
75 ITM MU PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
76 ITM MU PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
77 ITM HA PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
78 ITM HA PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
79 ITM JD PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
80 ITM JD PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
81 ITM OZ PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
82 ITM OZ PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
83 ITM GS PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
84 ITM GS PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
85 HND AC PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
86 HND AC PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
87 HND MU PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
88 HND MU PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
89 HND HA PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
90 HND HA PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
91 HND JD PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
92 HND JD PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
93 HND OZ PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
94 HND OZ PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
95 HND GS PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
96 HND GS PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
97 NRT AC PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
98 NRT AC PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
99 NRT MU PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
100 NRT MU PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
101 NRT HA PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
102 NRT HA PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
103 NRT JD PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
104 NRT JD PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
105 NRT OZ PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
106 NRT OZ PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
107 NRT GS PEK-LIS -1 JD460 -1 5b6bac204f3d78d1f73bf477
108 NRT GS PEK-LIS -1 JD459 -1 5b6bac204f3d78d1f73bf477
109 TAO AC PEK-LIS -1 JD460 -1 5bc7f3ec4f3d78d1f73d9d05
110 TAO AC PEK-LIS -1 JD459 -1 5bc7f3ec4f3d78d1f73d9d05
111 TAO MU PEK-LIS -1 JD460 -1 5bc7f3ec4f3d78d1f73d9d05
112 TAO MU PEK-LIS -1 JD459 -1 5bc7f3ec4f3d78d1f73d9d05
113 TAO HA PEK-LIS -1 JD460 -1 5bc7f3ec4f3d78d1f73d9d05
114 TAO HA PEK-LIS -1 JD459 -1 5bc7f3ec4f3d78d1f73d9d05
115 TAO JD PEK-LIS -1 JD460 -1 5bc7f3ec4f3d78d1f73d9d05
116 TAO JD PEK-LIS -1 JD459 -1 5bc7f3ec4f3d78d1f73d9d05
117 TAO OZ PEK-LIS -1 JD460 -1 5bc7f3ec4f3d78d1f73d9d05
118 TAO OZ PEK-LIS -1 JD459 -1 5bc7f3ec4f3d78d1f73d9d05
119 TAO GS PEK-LIS -1 JD460 -1 5bc7f3ec4f3d78d1f73d9d05
120 TAO GS PEK-LIS -1 JD459 -1 5bc7f3ec4f3d78d1f73d9d05
121 BJS AC PEK-LIS -1 JD460 -1 5bd26ff44f3d78d1f73dd251
122 BJS AC PEK-LIS -1 JD459 -1 5bd26ff44f3d78d1f73dd251
123 BJS MU PEK-LIS -1 JD460 -1 5bd26ff44f3d78d1f73dd251
124 BJS MU PEK-LIS -1 JD459 -1 5bd26ff44f3d78d1f73dd251
125 BJS HA PEK-LIS -1 JD460 -1 5bd26ff44f3d78d1f73dd251
126 BJS HA PEK-LIS -1 JD459 -1 5bd26ff44f3d78d1f73dd251
127 BJS JD PEK-LIS -1 JD460 -1 5bd26ff44f3d78d1f73dd251
128 BJS JD PEK-LIS -1 JD459 -1 5bd26ff44f3d78d1f73dd251
129 BJS OZ PEK-LIS -1 JD460 -1 5bd26ff44f3d78d1f73dd251
130 BJS OZ PEK-LIS -1 JD459 -1 5bd26ff44f3d78d1f73dd251
131 BJS GS PEK-LIS -1 JD460 -1 5bd26ff44f3d78d1f73dd251
132 BJS GS PEK-LIS -1 JD459 -1 5bd26ff44f3d78d1f73dd251
133 BCN AC PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
134 BCN AC PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
135 BCN MU PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
136 BCN MU PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
137 BCN HA PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
138 BCN HA PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
139 BCN JD PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
140 BCN JD PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
141 BCN OZ PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
142 BCN OZ PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
143 BCN GS PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
144 BCN GS PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
145 BIO AC PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
146 BIO AC PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
147 BIO MU PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
148 BIO MU PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
149 BIO HA PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
150 BIO HA PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
151 BIO JD PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
152 BIO JD PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
153 BIO OZ PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
154 BIO OZ PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
155 BIO GS PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
156 BIO GS PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
157 MAD AC PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
158 MAD AC PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
159 MAD MU PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
160 MAD MU PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
161 MAD HA PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
162 MAD HA PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
163 MAD JD PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
164 MAD JD PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
165 MAD OZ PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
166 MAD OZ PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
167 MAD GS PEK-LIS -1 JD460 -1 5bd658f14f3d78d1f73de521
168 MAD GS PEK-LIS -1 JD459 -1 5bd658f14f3d78d1f73de521
169 SGN AC PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d8
170 SGN AC PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d8
171 SGN MU PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d8
172 SGN MU PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d8
173 SGN HA PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d8
174 SGN HA PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d8
175 SGN JD PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d8
176 SGN JD PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d8
177 SGN OZ PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d8
178 SGN OZ PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d8
179 SGN GS PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d8
180 SGN GS PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d8
181 AMM AC PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d9
182 AMM AC PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d9
183 AMM MU PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d9
184 AMM MU PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d9
185 AMM HA PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d9
186 AMM HA PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d9
187 AMM JD PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d9
188 AMM JD PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d9
189 AMM OZ PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d9
190 AMM OZ PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d9
191 AMM GS PEK-LIS -1 JD460 -1 5bcfdd1d4f3d78d1f73dc3d9
192 AMM GS PEK-LIS -1 JD459 -1 5bcfdd1d4f3d78d1f73dc3d9
193 HGH AC PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
194 HGH AC PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
195 HGH MU PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
196 HGH MU PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
197 HGH HA PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
198 HGH HA PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
199 HGH JD PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
200 HGH JD PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
201 HGH OZ PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
202 HGH OZ PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
203 HGH GS PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
204 HGH GS PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
205 HSN AC PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
206 HSN AC PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
207 HSN MU PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
208 HSN MU PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
209 HSN HA PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
210 HSN HA PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
211 HSN JD PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
212 HSN JD PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
213 HSN OZ PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
214 HSN OZ PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
215 HSN GS PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
216 HSN GS PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
217 HYN AC PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
218 HYN AC PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
219 HYN MU PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
220 HYN MU PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
221 HYN HA PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
222 HYN HA PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
223 HYN JD PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
224 HYN JD PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
225 HYN OZ PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
226 HYN OZ PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
227 HYN GS PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
228 HYN GS PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
229 JUZ AC PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
230 JUZ AC PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
231 JUZ MU PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
232 JUZ MU PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
233 JUZ HA PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
234 JUZ HA PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
235 JUZ JD PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
236 JUZ JD PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
237 JUZ OZ PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
238 JUZ OZ PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
239 JUZ GS PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
240 JUZ GS PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
241 WNZ AC PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
242 WNZ AC PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
243 WNZ MU PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
244 WNZ MU PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
245 WNZ HA PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
246 WNZ HA PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
247 WNZ JD PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
248 WNZ JD PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
249 WNZ OZ PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
250 WNZ OZ PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
251 WNZ GS PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
252 WNZ GS PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
253 YIW AC PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
254 YIW AC PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
255 YIW MU PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
256 YIW MU PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
257 YIW HA PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
258 YIW HA PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
259 YIW JD PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
260 YIW JD PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
261 YIW OZ PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
262 YIW OZ PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
263 YIW GS PEK-LIS -1 JD460 -1 5b8e0d534f3d78d1f73c42a2
264 YIW GS PEK-LIS -1 JD459 -1 5b8e0d534f3d78d1f73c42a2
265 LAX AC PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
266 LAX AC PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
267 LAX MU PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
268 LAX MU PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
269 LAX HA PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
270 LAX HA PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
271 LAX JD PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
272 LAX JD PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
273 LAX OZ PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
274 LAX OZ PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
275 LAX GS PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
276 LAX GS PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
277 VNY AC PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
278 VNY AC PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
279 VNY MU PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
280 VNY MU PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
281 VNY HA PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
282 VNY HA PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
283 VNY JD PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
284 VNY JD PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
285 VNY OZ PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
286 VNY OZ PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
287 VNY GS PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
288 VNY GS PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
289 JFK AC PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
290 JFK AC PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
291 JFK MU PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
292 JFK MU PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
293 JFK HA PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
294 JFK HA PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
295 JFK JD PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
296 JFK JD PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
297 JFK OZ PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
298 JFK OZ PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
299 JFK GS PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
300 JFK GS PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
301 LGA AC PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
302 LGA AC PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
303 LGA MU PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
304 LGA MU PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
305 LGA HA PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
306 LGA HA PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
307 LGA JD PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
308 LGA JD PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
309 LGA OZ PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
310 LGA OZ PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
311 LGA GS PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
312 LGA GS PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
313 LAS AC PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
314 LAS AC PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
315 LAS MU PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
316 LAS MU PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
317 LAS HA PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
318 LAS HA PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
319 LAS JD PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
320 LAS JD PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
321 LAS OZ PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
322 LAS OZ PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
323 LAS GS PEK-LIS -1 JD460 -1 5b6903444f3d78d1f73be89d
324 LAS GS PEK-LIS -1 JD459 -1 5b6903444f3d78d1f73be89d
