ID flightNo intDepDate time dayInterval holiday tid price rate
59 CZ324 20160204 13 7 weekday 1 1910 high
60 CZ324 20160129 13 1 weekend 3 1910 high
61 CZ324 20160129 13 1 weekend 3 1910 high
62 CZ323 20160130 21 2 weekend 3 1910 high
63 CZ323 20160130 21 2 weekend 3 1910 high
64 CZ324 20160130 13 2 weekend 3 1910 high
65 CZ324 20160130 13 2 weekend 3 1910 high
66 CZ323 20160204 21 6 weekday 2 1910 high
67 CZ324 20160131 13 1 weekend 0 4390 high
68 CZ324 20160131 13 1 weekend 0 4390 high
69 CZ323 20160102 21 3 holiday 0 1090 low
70 CZ324 20160102 13 3 holiday 0 760 low
71 CZ323 20160127 21 0 weekday 0 1910 high
72 CZ323 20160127 21 0 weekday 0 1910 high
73 CZ324 20160127 13 0 weekday 0 5350 high
74 CZ324 20160127 13 0 weekday 0 5350 high
75 CZ323 20160128 21 1 weekday 0 1910 high
76 CZ323 20160128 21 1 weekday 0 1910 high
77 CZ323 20160204 21 8 weekday 1 1910 high
78 CZ323 20160204 21 8 weekday 1 1910 high
79 CZ324 20160204 13 8 weekday 1 1910 high
80 CZ324 20160204 13 8 weekday 1 1910 high
81 CZ323 20160203 21 6 weekday 1 1530 high
82 CZ324 20160203 13 6 weekday 1 1530 high
83 CZ323 20160129 21 1 weekend 3 1910 high
84 CZ323 20160129 21 1 weekend 3 1910 high
85 CZ323 20160207 21 9 weekend 0 960 low
86 CZ324 20160207 13 9 weekend 0 1150 low
87 CZ323 20160203 21 5 weekday 2 1530 high
88 CZ323 20160203 21 5 weekday 2 1530 high
89 CZ324 20160203 13 5 weekday 2 1530 high
90 CZ324 20160203 13 5 weekday 2 1530 high
91 CZ323 20160130 21 0 weekend 0 1910 high
92 CZ323 20160130 21 0 weekend 0 1910 high
93 CZ324 20160130 13 0 weekend 0 1910 high
94 CZ324 20160130 13 0 weekend 0 1910 high
95 CZ323 20160131 21 1 weekend 0 1910 high
96 CZ323 20160131 21 1 weekend 0 1910 high
97 CZ323 20160103 21 4 holiday 0 1450 high
98 CZ324 20160103 13 4 holiday 0 1910 high
99 CZ323 20160203 21 7 weekday 1 1530 high
100 CZ323 20160203 21 7 weekday 1 1530 high
101 CZ324 20160203 13 7 weekday 1 1530 high
102 CZ324 20160203 13 7 weekday 1 1530 high
103 CZ323 20160202 21 5 weekday 1 1530 high
104 CZ324 20160202 13 5 weekday 1 1430 high
105 CZ324 20160206 13 8 weekend 0 1530 high
106 CZ324 20160206 13 8 weekend 0 1530 high
107 CZ323 20160207 21 9 weekend 0 960 low
108 CZ324 20160207 13 9 weekend 0 1150 low
109 CZ323 20160202 21 4 weekday 2 1530 high
110 CZ323 20160202 21 4 weekday 2 1530 high
111 CZ324 20160202 13 4 weekday 2 1430 high
112 CZ324 20160202 13 4 weekday 2 1430 high
113 CZ323 20160208 21 9 weekday 1 1340 high
114 CZ324 20160208 13 9 weekday 1 1430 high
115 CZ324 20160208 13 9 weekday 1 1430 high
116 CZ323 20160204 21 5 weekday 3 1910 high
117 CZ323 20160204 21 5 weekday 3 1910 high
118 CZ324 20160204 13 5 weekday 3 1910 high
119 CZ324 20160204 13 5 weekday 3 1910 high
120 CZ323 20160104 21 5 weekday 0 1450 high
121 CZ324 20160104 13 5 weekday 0 960 low
122 CZ323 20160105 21 6 weekday 0 1450 high
123 CZ324 20160105 13 6 weekday 0 960 low
124 CZ323 20160202 21 6 weekday 1 1530 high
125 CZ323 20160202 21 6 weekday 1 1530 high
126 CZ324 20160202 13 6 weekday 1 1430 high
127 CZ324 20160202 13 6 weekday 1 1430 high
128 CZ323 20160128 21 0 weekday 1 1910 high
129 CZ324 20160128 13 0 weekday 1 4390 high
130 CZ323 20160129 21 1 weekend 1 1910 high
131 CZ324 20160129 13 1 weekend 1 1910 high
132 CZ323 20160130 21 2 weekend 1 1910 high
133 CZ324 20160130 13 2 weekend 1 1910 high
134 CZ323 20160131 21 3 weekend 1 1910 high
135 CZ324 20160131 13 3 weekend 1 1910 high
136 CZ323 20160201 21 4 weekday 1 1530 high
137 CZ324 20160201 13 4 weekday 1 1530 high
138 CZ323 20160205 21 7 weekend 0 1530 high
139 CZ324 20160205 13 7 weekend 0 1430 high
140 CZ324 20160205 13 7 weekend 0 1430 high
141 CZ323 20160206 21 8 weekend 0 1530 high
142 CZ323 20160206 21 8 weekend 0 1530 high
143 CZ323 20160201 21 3 weekday 2 1530 high
144 CZ323 20160201 21 3 weekday 2 1530 high
145 CZ324 20160201 13 3 weekday 2 1720 high
146 CZ324 20160201 13 3 weekday 2 1720 high
147 CZ323 20160207 21 8 weekend 1 760 low
148 CZ324 20160207 13 8 weekend 1 1150 low
149 CZ324 20160207 13 8 weekend 1 1150 low
150 CZ323 20160208 21 9 weekday 1 1340 high
151 CZ323 20160202 21 3 weekday 3 1910 high
152 CZ323 20160202 21 3 weekday 3 1910 high
153 CZ324 20160202 13 3 weekday 3 1720 high
154 CZ324 20160202 13 3 weekday 3 1720 high
155 CZ323 20160203 21 4 weekday 3 1910 high
156 CZ323 20160203 21 4 weekday 3 1910 high
157 CZ324 20160203 13 4 weekday 3 1530 high
158 CZ324 20160203 13 4 weekday 3 1530 high
159 CZ323 20160207 21 7 weekend 1 960 low
160 CZ323 20160207 21 7 weekend 1 960 low
161 CZ324 20160207 13 7 weekend 1 1150 low
162 CZ324 20160207 13 7 weekend 1 1150 low
163 CZ323 20160208 21 8 weekday 1 1340 high
164 CZ323 20160208 21 8 weekday 1 1340 high
165 CZ324 20160208 13 8 weekday 1 1340 high
166 CZ324 20160208 13 8 weekday 1 1340 high
167 CZ323 20160106 21 7 weekday 0 1450 high
168 CZ324 20160106 13 7 weekday 0 960 low
169 CZ323 20160107 21 8 weekday 0 1450 high
170 CZ324 20160107 13 8 weekday 0 960 low
171 CZ323 20160108 21 9 weekend 0 1270 high
172 CZ324 20160203 13 5 weekday 0 1530 high
173 CZ323 20160204 21 6 weekday 0 1910 high
174 CZ323 20160204 21 6 weekday 0 1910 high
175 CZ324 20160204 13 6 weekday 0 1910 high
176 CZ324 20160204 13 6 weekday 0 1910 high
177 CZ323 20160205 21 7 weekend 0 1530 high
178 CZ323 20160129 21 0 weekend 2 1910 high
179 CZ323 20160129 21 0 weekend 2 1910 high
180 CZ324 20160129 13 0 weekend 2 5350 high
181 CZ324 20160129 13 0 weekend 2 5350 high
182 CZ323 20160130 21 1 weekend 2 1910 high
183 CZ323 20160130 21 1 weekend 2 1910 high
184 CZ324 20160130 13 1 weekend 2 1910 high
185 CZ324 20160130 13 1 weekend 2 1910 high
186 CZ323 20160131 21 2 weekend 2 1910 high
187 CZ323 20160131 21 2 weekend 2 1910 high
188 CZ324 20160131 13 2 weekend 2 1910 high
189 CZ324 20160131 13 2 weekend 2 1910 high
190 CZ323 20160206 21 7 weekend 1 1530 high
191 CZ323 20160206 21 7 weekend 1 1530 high
192 CZ324 20160206 13 7 weekend 1 1530 high
193 CZ324 20160206 13 7 weekend 1 1530 high
194 CZ323 20160207 21 8 weekend 1 760 low
195 CZ323 20160130 21 0 weekend 3 1910 high
196 CZ323 20160130 21 0 weekend 3 1910 high
197 CZ323 20160131 21 1 weekend 3 1910 high
198 CZ323 20160131 21 1 weekend 3 1910 high
199 CZ324 20160131 13 1 weekend 3 5350 high
200 CZ324 20160131 13 1 weekend 3 5350 high
201 CZ323 20160201 21 2 weekday 3 1910 high
202 CZ323 20160201 21 2 weekday 3 1910 high
203 CZ324 20160201 13 2 weekday 3 1720 high
204 CZ324 20160201 13 2 weekday 3 1720 high
205 CZ323 20160202 21 2 weekday 1 1910 high
206 CZ323 20160202 21 2 weekday 1 1910 high
207 CZ324 20160202 13 2 weekday 1 1720 high
208 CZ324 20160202 13 2 weekday 1 1720 high
209 CZ323 20160203 21 3 weekday 1 1910 high
210 CZ323 20160203 21 3 weekday 1 1910 high
211 CZ324 20160203 13 3 weekday 1 1530 high
212 CZ324 20160203 13 3 weekday 1 1530 high
213 CZ323 20160204 21 4 weekday 1 1910 high
214 CZ323 20160204 21 4 weekday 1 1910 high
215 CZ324 20160204 13 4 weekday 1 1910 high
216 CZ324 20160204 13 4 weekday 1 1910 high
217 CZ323 20160205 21 5 weekend 1 1530 high
218 CZ323 20160205 21 5 weekend 1 1530 high
219 CZ324 20160205 13 5 weekend 1 1430 high
220 CZ324 20160205 13 5 weekend 1 1430 high
221 CZ323 20160206 21 6 weekend 1 1530 high
222 CZ323 20160206 21 6 weekend 1 1530 high
223 CZ324 20160206 13 6 weekend 1 1530 high
224 CZ324 20160206 13 6 weekend 1 1530 high
225 CZ323 20160209 21 9 weekday 3 1340 high
226 CZ323 20160209 21 9 weekday 3 1340 high
227 CZ324 20160209 13 9 weekday 3 1910 high
228 CZ324 20160209 13 9 weekday 3 1910 high
229 CZ324 20160108 13 9 weekend 0 1150 low
230 CZ323 20160206 21 9 weekend 2 1530 high
231 CZ324 20160206 13 9 weekend 2 1530 high
232 CZ323 20160206 21 9 weekend 2 1530 high
233 CZ324 20160206 13 9 weekend 2 1530 high
234 CZ323 20160130 21 1 weekend 0 1910 high
235 CZ323 20160130 21 1 weekend 0 1910 high
236 CZ324 20160130 13 1 weekend 0 1910 high
237 CZ324 20160130 13 1 weekend 0 1910 high
238 CZ323 20160131 21 2 weekend 0 1910 high
239 CZ323 20160131 21 2 weekend 0 1910 high
240 CZ324 20160131 13 2 weekend 0 1910 high
241 CZ324 20160131 13 2 weekend 0 1910 high
242 CZ323 20160201 21 3 weekday 0 1530 high
243 CZ323 20160201 21 3 weekday 0 1530 high
244 CZ324 20160201 13 3 weekday 0 1720 high
245 CZ324 20160201 13 3 weekday 0 1720 high
246 CZ323 20160202 21 4 weekday 0 1530 high
247 CZ323 20160202 21 4 weekday 0 1530 high
248 CZ324 20160202 13 4 weekday 0 1430 high
249 CZ324 20160202 13 4 weekday 0 1430 high
250 CZ323 20160203 21 5 weekday 0 1530 high
251 CZ323 20160203 21 5 weekday 0 1530 high
252 CZ324 20160203 13 5 weekday 0 1530 high
253 CZ323 20160202 21 3 weekday 1 1530 high
254 CZ324 20160202 13 3 weekday 1 1430 high
255 CZ324 20160202 13 3 weekday 1 1430 high
256 CZ323 20160203 21 4 weekday 1 1530 high
257 CZ323 20160203 21 4 weekday 1 1530 high
258 CZ324 20160203 13 4 weekday 1 1530 high
259 CZ324 20160203 13 4 weekday 1 1530 high
260 CZ323 20160204 21 5 weekday 1 1910 high
261 CZ323 20160204 21 5 weekday 1 1910 high
262 CZ324 20160204 13 5 weekday 1 1910 high
263 CZ324 20160204 13 5 weekday 1 1910 high
264 CZ323 20160205 21 6 weekend 1 1530 high
265 CZ324 20160205 13 6 weekend 1 1430 high
266 CZ323 20160205 21 6 weekend 1 1530 high
267 CZ324 20160205 13 6 weekend 1 1430 high
268 CZ323 20160131 21 0 weekend 1 1910 high
269 CZ323 20160131 21 0 weekend 1 1910 high
270 CZ324 20160131 13 0 weekend 1 5350 high
271 CZ324 20160131 13 0 weekend 1 5350 high
272 CZ323 20160201 21 1 weekday 1 1910 high
273 CZ323 20160201 21 1 weekday 1 1910 high
274 CZ324 20160201 13 1 weekday 1 1720 high
275 CZ324 20160201 13 1 weekday 1 1720 high
276 CZ323 20160206 21 6 weekend 3 1530 high
277 CZ323 20160206 21 6 weekend 3 1530 high
278 CZ324 20160206 13 6 weekend 3 1530 high
279 CZ324 20160206 13 6 weekend 3 1530 high
280 CZ323 20160207 21 7 weekend 3 960 low
281 CZ324 20160207 13 7 weekend 3 1150 low
282 CZ323 20160207 21 7 weekend 3 960 low
283 CZ324 20160207 13 7 weekend 3 1150 low
284 CZ323 20160208 21 8 weekday 3 1340 high
285 CZ323 20160208 21 8 weekday 3 1340 high
286 CZ324 20160208 13 8 weekday 3 1340 high
287 CZ324 20160208 13 8 weekday 3 1340 high
288 CZ324 20160204 13 7 weekday 2 1910 high
289 CZ323 20160204 21 7 weekday 2 1910 high
290 CZ324 20160204 13 7 weekday 2 1910 high
291 CZ323 20160205 21 8 weekend 2 1530 high
292 CZ323 20160205 21 8 weekend 2 1530 high
293 CZ324 20160205 13 8 weekend 2 1430 high
294 CZ324 20160205 13 8 weekend 2 1430 high
295 CZ323 20160129 21 0 weekend 0 1910 high
296 CZ323 20160129 21 0 weekend 0 1910 high
297 CZ324 20160129 13 0 weekend 0 1910 high
298 CZ324 20160129 13 0 weekend 0 1910 high
299 CZ323 20160206 21 8 weekend 1 1530 high
300 CZ323 20160206 21 8 weekend 1 1530 high
301 CZ324 20160206 13 8 weekend 1 1530 high
302 CZ324 20160206 13 8 weekend 1 1530 high
303 CZ323 20160207 21 9 weekend 1 960 low
304 CZ323 20160207 21 9 weekend 1 960 low
305 CZ324 20160207 13 9 weekend 1 1150 low
306 CZ324 20160207 13 9 weekend 1 1150 low
307 CZ323 20160201 21 3 weekday 3 1910 high
308 CZ323 20160201 21 3 weekday 3 1910 high
309 CZ324 20160201 13 3 weekday 3 1720 high
310 CZ324 20160201 13 3 weekday 3 1720 high
311 CZ323 20160202 21 4 weekday 3 1530 high
312 CZ323 20160202 21 4 weekday 3 1530 high
313 CZ324 20160202 13 4 weekday 3 1430 high
314 CZ324 20160202 13 4 weekday 3 1430 high
315 CZ323 20160203 21 5 weekday 3 1530 high
316 CZ323 20160203 21 5 weekday 3 1530 high
317 CZ324 20160203 13 5 weekday 3 1530 high
318 CZ324 20160203 13 5 weekday 3 1530 high
319 CZ323 20160204 21 6 weekday 3 1910 high
320 CZ324 20160204 13 6 weekday 3 1910 high
321 CZ323 20160204 21 6 weekday 3 1910 high
322 CZ324 20160204 13 6 weekday 3 1910 high
323 CZ323 20160205 21 7 weekend 3 1530 high
324 CZ323 20160205 21 7 weekend 3 1530 high
325 CZ324 20160205 13 7 weekend 3 1430 high
326 CZ324 20160205 13 7 weekend 3 1430 high
327 CZ323 20160206 21 8 weekend 3 1530 high
328 CZ323 20160206 21 8 weekend 3 1530 high
329 CZ324 20160206 13 8 weekend 3 1530 high
330 CZ324 20160206 13 8 weekend 3 1530 high
331 CZ323 20160207 21 9 weekend 3 760 low
332 CZ324 20160207 13 9 weekend 3 1150 low
333 CZ323 20160207 21 9 weekend 3 760 low
334 CZ324 20160207 13 9 weekend 3 1150 low
335 CZ323 20160130 21 0 weekend 1 1910 high
336 CZ323 20160130 21 0 weekend 1 1910 high
337 CZ324 20160130 13 0 weekend 1 1910 high
338 CZ324 20160130 13 0 weekend 1 1910 high
339 CZ323 20160131 21 1 weekend 1 1910 high
340 CZ323 20160131 21 1 weekend 1 1910 high
341 CZ324 20160131 13 1 weekend 1 4390 high
342 CZ324 20160131 13 1 weekend 1 4390 high
343 CZ323 20160201 21 2 weekday 1 1910 high
344 CZ323 20160201 21 2 weekday 1 1910 high
345 CZ324 20160201 13 2 weekday 1 1720 high
346 CZ324 20160201 13 2 weekday 1 1720 high
347 CZ323 20160202 21 3 weekday 1 1530 high
348 CZ324 20160202 13 2 weekday 3 1720 high
349 CZ323 20160202 21 2 weekday 3 1910 high
350 CZ324 20160202 13 2 weekday 3 1720 high
351 CZ323 20160203 21 3 weekday 3 1910 high
352 CZ323 20160203 21 3 weekday 3 1910 high
353 CZ324 20160203 13 3 weekday 3 1530 high
354 CZ324 20160203 13 3 weekday 3 1530 high
355 CZ323 20160204 21 4 weekday 3 1910 high
356 CZ323 20160204 21 4 weekday 3 1910 high
357 CZ324 20160204 13 4 weekday 3 1910 high
358 CZ324 20160204 13 4 weekday 3 1910 high
359 CZ323 20160205 21 5 weekend 3 1530 high
360 CZ323 20160205 21 5 weekend 3 1530 high
361 CZ324 20160205 13 5 weekend 3 1430 high
362 CZ324 20160205 13 5 weekend 3 1430 high
363 CZ323 20160206 21 4 weekend 2 1530 high
364 CZ323 20160206 21 4 weekend 2 1530 high
365 CZ324 20160206 13 4 weekend 2 1530 high
366 CZ324 20160206 13 4 weekend 2 1530 high
367 CZ323 20160207 21 5 weekend 2 1910 high
368 CZ323 20160207 21 5 weekend 2 1910 high
369 CZ324 20160207 13 5 weekend 2 1150 low
370 CZ324 20160207 13 5 weekend 2 1150 low
371 CZ323 20160217 21 2 weekday 0 1630 high
372 CZ324 20160217 13 2 weekday 0 1530 high
373 CZ324 20160110 13 6 weekend 1 1150 low
374 CZ323 20160116 21 7 weekend 2 1530 high
375 CZ323 20160115 21 3 weekend 2 1910 high
376 CZ324 20160115 13 3 weekend 2 1720 high
377 CZ323 20160122 21 9 weekend 1 1910 high
378 CZ324 20160118 13 2 weekday 2 1720 high
379 CZ323 20160124 21 7 weekend 1 1910 high
380 CZ323 20160121 21 3 weekday 3 1910 high
381 CZ323 20160131 21 6 weekend 3 1910 high
382 CZ323 20160204 21 7 weekday 2 1910 high
383 CZ323 20160204 21 6 weekday 1 1910 high
384 CZ324 20160204 13 6 weekday 1 1910 high
385 CZ324 20160204 13 6 weekday 1 1910 high
386 CZ323 20160205 21 7 weekend 1 1530 high
387 CZ323 20160205 21 7 weekend 1 1530 high
388 CZ324 20160205 13 7 weekend 1 1430 high
389 CZ324 20160205 13 7 weekend 1 1430 high
390 CZ323 20160130 21 1 weekend 3 1910 high
391 CZ323 20160130 21 1 weekend 3 1910 high
392 CZ324 20160130 13 1 weekend 3 1910 high
393 CZ324 20160130 13 1 weekend 3 1910 high
394 CZ323 20160131 21 2 weekend 3 1910 high
395 CZ323 20160131 21 2 weekend 3 1910 high
396 CZ324 20160131 13 2 weekend 3 4390 high
397 CZ324 20160131 13 2 weekend 3 4390 high
398 CZ324 20160201 13 2 weekday 2 1720 high
399 CZ324 20160201 13 2 weekday 2 1720 high
400 CZ323 20160202 21 3 weekday 2 1910 high
401 CZ324 20160202 13 3 weekday 2 1720 high
402 CZ323 20160202 21 3 weekday 2 1910 high
403 CZ324 20160202 13 3 weekday 2 1720 high
404 CZ323 20160203 21 4 weekday 2 1910 high
405 CZ324 20160203 13 4 weekday 2 1530 high
406 CZ323 20160203 21 4 weekday 2 1910 high
407 CZ324 20160203 13 4 weekday 2 1530 high
408 CZ323 20160204 21 5 weekday 2 1910 high
409 CZ324 20160204 13 5 weekday 2 1910 high
410 CZ323 20160204 21 5 weekday 2 1910 high
411 CZ324 20160204 13 5 weekday 2 1910 high
412 CZ323 20160205 21 6 weekend 2 1530 high
413 CZ324 20160205 13 6 weekend 2 1430 high
414 CZ323 20160205 21 6 weekend 2 1530 high
415 CZ324 20160205 13 6 weekend 2 1430 high
416 CZ323 20160206 21 7 weekend 2 1530 high
417 CZ324 20160206 13 7 weekend 2 1530 high
418 CZ323 20160206 21 7 weekend 2 1530 high
419 CZ324 20160206 13 7 weekend 2 1530 high
420 CZ323 20160207 21 8 weekend 2 760 low
421 CZ324 20160207 13 8 weekend 2 1150 low
422 CZ323 20160207 21 8 weekend 2 760 low
423 CZ324 20160207 13 8 weekend 2 1150 low
424 CZ323 20160208 21 9 weekday 2 1340 high
425 CZ323 20160208 21 9 weekday 2 1340 high
426 CZ324 20160208 13 9 weekday 2 1430 high
427 CZ324 20160208 13 9 weekday 2 1430 high
428 CZ323 20160204 21 4 weekday 0 1910 high
429 CZ323 20160204 21 4 weekday 0 1910 high
430 CZ324 20160204 13 4 weekday 0 1910 high
431 CZ324 20160204 13 4 weekday 0 1910 high
432 CZ323 20160205 21 5 weekend 0 1530 high
433 CZ324 20160205 13 5 weekend 0 1430 high
434 CZ323 20160205 21 5 weekend 0 1530 high
435 CZ324 20160205 13 5 weekend 0 1430 high
436 CZ323 20160206 21 6 weekend 0 1530 high
437 CZ324 20160206 13 6 weekend 0 1530 high
438 CZ323 20160206 21 6 weekend 0 1530 high
439 CZ324 20160206 13 6 weekend 0 1530 high
440 CZ323 20160207 21 7 weekend 0 960 low
441 CZ324 20160207 13 7 weekend 0 1150 low
442 CZ323 20160207 21 7 weekend 0 960 low
443 CZ324 20160207 13 7 weekend 0 1150 low
444 CZ323 20160208 21 8 weekday 0 1340 high
445 CZ323 20160208 21 8 weekday 0 1340 high
446 CZ324 20160208 13 8 weekday 0 1430 high
447 CZ324 20160208 13 8 weekday 0 1430 high
448 CZ323 20160209 21 9 weekday 0 1340 high
449 CZ323 20160209 21 9 weekday 0 1340 high
450 CZ324 20160209 13 9 weekday 0 1910 high
451 CZ324 20160209 13 9 weekday 0 1910 high
452 CZ323 20160201 21 1 weekday 3 1910 high
453 CZ323 20160201 21 1 weekday 3 1910 high
454 CZ324 20160201 13 1 weekday 3 1910 high
455 CZ324 20160201 13 1 weekday 3 1910 high
456 CZ323 20160202 21 2 weekday 3 1910 high
457 CZ323 20160202 21 1 weekday 1 1910 high
458 CZ323 20160202 21 1 weekday 1 1910 high
459 CZ324 20160202 13 1 weekday 1 1720 high
460 CZ324 20160202 13 1 weekday 1 1720 high
461 CZ323 20160203 21 2 weekday 1 1910 high
462 CZ323 20160203 21 2 weekday 1 1910 high
463 CZ324 20160203 13 2 weekday 1 1530 high
464 CZ324 20160203 13 2 weekday 1 1530 high
465 CZ323 20160204 21 3 weekday 1 1910 high
466 CZ323 20160204 21 3 weekday 1 1910 high
467 CZ324 20160204 13 3 weekday 1 1910 high
468 CZ324 20160204 13 3 weekday 1 1910 high
469 CZ323 20160205 21 4 weekend 1 1530 high
470 CZ323 20160205 21 4 weekend 1 1530 high
471 CZ324 20160205 13 4 weekend 1 1430 high
472 CZ324 20160205 13 4 weekend 1 1430 high
473 CZ323 20160206 21 5 weekend 1 1530 high
474 CZ323 20160206 21 5 weekend 1 1530 high
475 CZ324 20160206 13 5 weekend 1 1530 high
476 CZ324 20160206 13 5 weekend 1 1530 high
477 CZ323 20160207 21 6 weekend 1 960 low
478 CZ324 20160207 13 6 weekend 1 1150 low
479 CZ323 20160207 21 6 weekend 1 960 low
480 CZ324 20160207 13 6 weekend 1 1150 low
481 CZ323 20160208 21 7 weekday 1 1340 high
482 CZ323 20160208 21 7 weekday 1 1340 high
483 CZ324 20160208 13 7 weekday 1 1340 high
484 CZ324 20160208 13 7 weekday 1 1340 high
485 CZ323 20160209 21 8 weekday 1 1340 high
486 CZ323 20160209 21 8 weekday 1 1340 high
487 CZ324 20160209 13 8 weekday 1 1910 high
488 CZ324 20160209 13 8 weekday 1 1910 high
489 CZ323 20160210 21 9 weekday 1 1340 high
490 CZ324 20160210 13 9 weekday 1 1910 high
491 CZ323 20160210 21 9 weekday 1 1340 high
492 CZ324 20160210 13 9 weekday 1 1910 high
493 CZ323 20160209 21 8 weekday 3 1340 high
494 CZ324 20160209 13 8 weekday 3 1910 high
495 CZ323 20160209 21 8 weekday 3 1340 high
496 CZ324 20160209 13 8 weekday 3 1910 high
497 CZ323 20160210 21 9 weekday 3 1340 high
498 CZ323 20160210 21 9 weekday 3 1340 high
499 CZ324 20160210 13 9 weekday 3 1910 high
500 CZ324 20160210 13 9 weekday 3 1910 high
501 CZ323 20160202 21 0 weekday 2 1910 high
502 CZ323 20160202 21 0 weekday 2 1910 high
503 CZ324 20160202 13 0 weekday 2 1720 high
504 CZ324 20160202 13 0 weekday 2 1720 high
505 CZ323 20160203 21 1 weekday 2 1910 high
506 CZ323 20160203 21 1 weekday 2 1910 high
507 CZ324 20160203 13 1 weekday 2 1530 high
508 CZ324 20160203 13 1 weekday 2 1530 high
509 CZ323 20160204 21 2 weekday 2 1910 high
510 CZ323 20160204 21 2 weekday 2 1910 high
511 CZ324 20160204 13 2 weekday 2 1910 high
512 CZ324 20160204 13 2 weekday 2 1910 high
513 CZ323 20160205 21 3 weekend 2 1530 high
514 CZ323 20160205 21 3 weekend 2 1530 high
515 CZ324 20160205 13 3 weekend 2 1430 high
516 CZ324 20160205 13 3 weekend 2 1430 high
517 CZ323 20160203 21 0 weekday 1 1910 high
518 CZ324 20160203 13 0 weekday 1 1910 high
519 CZ323 20160204 21 1 weekday 1 1910 high
520 CZ324 20160204 13 1 weekday 1 1910 high
521 CZ323 20160205 21 2 weekend 1 1910 high
522 CZ324 20160205 13 2 weekend 1 1430 high
523 CZ323 20160206 21 3 weekend 1 1530 high
524 CZ324 20160206 13 3 weekend 1 1530 high
525 CZ323 20160209 21 1 weekday 0 1450 high
526 CZ324 20160209 13 1 weekday 0 1910 high
527 CZ323 20160210 21 2 weekday 0 1450 high
528 CZ323 20160215 21 6 weekday 1 1530 high
529 CZ324 20160215 13 6 weekday 1 1910 high
530 CZ323 20160216 21 7 weekday 1 1630 high
531 CZ323 20160213 21 0 holiday 1 1910 high
532 CZ323 20160217 21 4 weekday 3 1360 high
533 CZ324 20160217 13 4 weekday 3 1720 high
534 CZ323 20160218 21 5 weekday 3 1270 high
535 CZ324 20160218 13 5 weekday 3 1430 high
536 CZ323 20160214 21 0 weekend 1 1910 high
537 CZ324 20160214 13 0 weekend 1 1910 high
